ID     LAT    LON     Location

Alabama

[DAB]  29.18   81.05  Daytona Bch,Florida
[EGI]  30.65   86.52  Duke Fld,Florida
[VPS]  30.48   86.53  Eglin AFB,Florida
[X91]  27.60   82.77  Egmont Key,Florida
[FXE]  26.13   80.13  Fort Lauderd,Florida
[FMY]  26.58   81.87  Fort Myers,Florida
[FLL]  26.07   80.15  Ft Lauderdale,Florida
[RSW]  26.65   81.87  Ft Myers,Florida
[GNV]  29.68   82.27  Gainesville,Florida
[HST]  25.48   80.38  Homestead,Florida
[HRT]  30.43   86.68  Hurlburt Fld,Florida
[CRG]  30.33   81.52  Jacksonville,Florida
[JAX]  30.50   81.70  Jacksonville,Florida
[NIP]  30.23   81.68  Jacksonville,Florida
[EYW]  24.55   81.75  Key West,Florida
[NQX]  24.57   81.68  Key West NAS,Florida
[LAL]  28.03   81.95  Lakeland,Florida
[MCF]  27.85   82.52  Macdill AFB,Florida
[MAI]  30.84   85.18  Marianna,Florida
[NRB]  30.40   81.42  Mayport NAS,Florida
[MLB]  28.10   80.63  Melbourne,Florida
[MIA]  25.82   80.28  Miami Intl,Florida
[OPF]  25.92   80.28  Miami/Opa,Florida
[TMB]  25.65   80.43  Miami/Tamiami,Florida
[APF]  26.13   81.80  Naples,Florida
[X68]  28.62   80.68  Nasa Shuttle,Florida
[MCO]  28.43   81.32  Orlando,Florida
[ORL]  28.55   81.33  Orlando,Florida
[PFN]  30.20   85.68  Panama City,Florida
[COF]  28.23   80.60  Patrick AFB,Florida
[NPA]  30.35   87.32  Pensacola,Florida
[PNS]  30.47   87.20  Pensacola,Florida
[TBW]  27.97   82.60  Ruskin,Florida
[PIE]  27.92   82.68  Saint Peters,Florida
[SFB]  28.78   81.25  Sanford,Florida
[SRQ]  27.40   82.55  Sarasota,Florida
[TLH]  30.38   84.37  Tallahassee,Florida
[TPA]  27.97   82.53  Tampa Intl,Florida
[TIX]  28.52   80.80  Titusville,Florida
[PAM]  30.07   85.58  Tyndall AFB,Florida
[VRB]  27.65   80.42  Vero Beach,Florida
[PBI]  26.68   80.12  W Palm Beach,Florida
[NSE]  30.72   87.02  Whiting Fld,Florida

Georgia

[ABY]  31.53   84.18  Albany,Georgia
[AMG]  31.53   82.52  Alma,Georgia
[AHN]  33.95   83.32  Athens,Georgia
[ATL]  33.65   84.42  Atlanta,Georgia
[ATL]  33.65   84.42  Atlanta,Georgia
[PDK]  33.88   84.30  Atlanta/Dklb,Georgia
[FTY]  33.78   84.52  Atlanta/Fltn,Georgia
[AGS]  33.37   81.97  Augusta/Bush,Georgia
[SSI]  31.15   81.38  Brunswick,Georgia
[CSG]  32.52   84.93  Columbus,Georgia
[MGE]  33.92   84.52  Dobbins AFB,Georgia
[MGF]  34.53   84.87  Dobbins AFB,Georgia
[LSF]  32.33   85.00  Fort Benning,Georgia
[LHW]  31.88   81.57  Ft Stewart,Georgia
[SVN]  32.02   81.15  Hunter Aaf,Georgia
[LGC]  33.01   85.07  La Grange,Georgia
[MCN]  32.70   83.65  Macon/Lewis,Georgia
[VAD]  30.97   83.20  Moody AFB,Georgia
[WRB]  32.63   83.60  Robins AFB,Georgia
[RMG]  34.35   85.17  Rome/Russell,Georgia
[SAV]  32.13   81.20  Savannah Mun,Georgia
[VLD]  30.78   83.28  Valdosta,Georgia
[AYS]  31.25   82.40  Waycross,Georgia

Hawaii

[HNA]  21.53  158.12  Barbers Pt,Hawaii
[HNA]  21.53  158.12  Barbers Pt,Hawaii
[BKH]  22.05  160.30  Barking San,Hawaii
[1Z6]  24.45  166.47  Fr Frigate,Hawaii
[ITO]  19.72  155.07  Hilo,Hawaii
[HNL]  21.35  157.93  Honolulu Int,Hawaii
[OGG]  20.90  156.43  Kahului Maui,Hawaii
[HNG]  21.75  158.28  Kaneohe Mca,Hawaii
[HNG]  21.75  158.28  Kaneohe Mca,Hawaii
[KOA]  19.75  156.05  Ke-Ahole/Kon,Hawaii
[0Z5]  22.38  159.67  Kilauea Pt,Hawaii
[LNY]  20.80  156.95  Lanai-Lanai,Hawaii
[LIH]  21.98  159.35  Lihue-Kauai,Hawaii
[JHM]  20.97  156.83  Maui,Hawaii
[MKK]  21.15  157.10  Molokai,Hawaii
[1Z2]  20.42  156.47  Upolo Pt Ln,Hawaii
[MUE]  20.00  156.12  Waimea-Koha,Hawaii

Idaho

[BOI]  43.57  116.22  Boise,Idaho
[BYI]  42.53  113.77  Burley,Idaho
[U15]  44.52  114.22  Challis,Idaho
[COE]  47.77  116.82  Coeur d'Alene,Idaho
[P69]  45.82  115.43  Elk City,Idaho
[GNG]  43.00  115.17  Gooding,Idaho
[S80]  45.92  116.13  Grangeville,Idaho
[IDA]  43.52  112.07  Idaho Falls,Idaho
[LWS]  46.38  117.02  Lewiston,Idaho
[MLD]  42.17  112.32  Malad City,Idaho
[77M]  42.30  113.37  Malta,Idaho
[MYL]  44.88  116.10  Mccall,Idaho
[MUO]  43.05  115.87  Mountn Home,Idaho
[S06]  47.47  115.80  Mullan,Idaho
[PIH]  42.92  112.60  Pocatello,Idaho
[27U]  45.18  113.90  Salmon,Idaho
[SMN]  45.17  114.47  Salmon,Idaho
[U78]  42.65  111.58  Soda Springs,Idaho
[SUN]  43.50  114.30  Sun Valley,Idaho
[TWF]  42.48  114.48  Twin Falls,Idaho

Illinois

[ALN]  38.88   90.05  Alton,Illinois
[ARR]  41.77   88.32  Aurora,Illinois
[CPS]  38.57   90.15  Bistate Park,Illinois
[BMI]  40.48   88.93  Bloomington,Illinois
[BDF]  41.16   89.60  Bradford,Illinois
[CTR]  37.07   89.22  Cairo,Illinois
[MDH]  37.78   89.25  Carbondale,Illinois
[ENL]  38.51   89.09  Centralia,Illinois
[CMI]  40.03   88.28  Champaign/Urbana,Illinois
[CHI]  41.90   87.65  Chicago,Illinois
[CGX]  41.87   87.62  Chicago/Meigs,Illinois
[MDW]  41.78   87.75  Chicago/Midway,Illinois
[ORD]  41.98   87.90  Chicago/O'hare,Illinois
[DNV]  40.20   87.60  Danville,Illinois
[DKB]  41.93   88.72  DeKalb,Illinois
[DEC]  39.83   88.87  Decatur,Illinois
[DPA]  41.92   88.25  Du Page,Illinois
[GBG]  40.93   90.43  Galesburg,Illinois
[NBU]  42.08   87.82  Glenview NAS,Illinois
[IKK]  41.07   87.85  Kankakee,Illinois
[MQB]  40.52   90.66  Macomb,Illinois
[MWA]  37.75   89.00  Marion,Illinois
[MMO]  41.37   88.68  Marseilles,Illinois
[MTO]  39.48   88.28  Mattoon,Illinois
[MLI]  41.45   90.52  Moline/Quad,Illinois
[MVN]  38.32   88.86  Mount Vernon,Illinois
[PIA]  40.67   89.68  Peoria,Illinois
[UIN]  39.93   91.20  Quincy,Illinois
[RFD]  42.20   89.10  Rockford,Illinois
[SLO]  38.63   88.96  Salem,Illinois
[BLV]  38.55   89.85  Scott AFB,Illinois
[SPI]  39.85   89.67  Springfield,Illinois
[SQI]  41.74   89.67  Sterling,Illinois
[TAZ]  39.53   89.33  Taylorville,Illinois
[VLA]  38.99   89.17  Vandalia,Illinois

Indiana


[BAK]  39.38   86.50  Bakalar Af,Indiana
[BMG]  39.13   86.62  Bloomington,Indiana
[EKM]  41.72   86.00  Elkhart,Indiana
[EVV]  38.05   87.53  Evansville,Indiana
[FWA]  41.00   85.20  Fort Wayne,Indiana
[GYY]  41.62   87.42  Gary,Indiana
[GUS]  40.65   86.15  Grissom AFB,Indiana
[IND]  39.73   86.27  Indianapolis,Indiana
[MIE]  40.23   85.38  Muncie,Indiana
[SBN]  41.70   86.32  South Bend,Indiana
[HUF]  39.45   87.30  Terre Haute,Indiana
[LAF]  40.42   86.93  W Lafayette,Indiana

Iowa

[BRL]  40.78   91.12  Burlington,Iowa
[CID]  41.88   91.70  Cedar Rapids,Iowa
[DSM]  41.53   93.65  Des Moines,Iowa
[DBQ]  42.40   90.70  Dubuque,Iowa
[EST]  43.40   94.75  Estherville,Iowa
[FOD]  42.55   94.18  Fort Dodge,Iowa
[3OI]  40.62   93.93  Lamoni,Iowa
[MCW]  43.15   93.33  Mason City,Iowa
[OTM]  41.10   92.45  Ottumwa,Iowa
[SUX]  42.40   96.38  Sioux City,Iowa
[3SE]  43.17   95.15  Spencer,Iowa
[ALO]  42.55   92.40  Waterloo Mun,Iowa

Kansas

[CNU]  37.67   95.48  Chanute,Kansas
[3KM]  37.75   97.22  Col. J Jabar,Kansas
[CNK]  39.55   97.65  Concordia,Kansas
[DDC]  37.77   99.97  Dodge City,Kansas
[1K5]  37.00  101.88  Elkhart,Kansas
[EMP]  38.33   96.20  Emporia,Kansas
[FLV]  39.37   94.92  Ft Leavnwrth,Kansas
[FRI]  39.05   96.77  Ft Riley,Kansas
[GCK]  37.93  100.72  Garden City,Kansas
[GLD]  39.37  101.70  Goodland,Kansas
[HYS]  38.85   99.27  Hays,Kansas
[HLC]  39.38   99.83  Hill City,Kansas
[HUT]  38.07   97.87  Hutchinson,Kansas
[IXD]  38.82   94.88  Johnson Cnty,Kansas
[LBL]  37.05  100.97  Liberal,Kansas
[MHK]  39.15   96.67  Manhatten,Kansas
[IAB]  37.62   97.27  Mcconnell Af,Kansas
[P28]  37.30   98.58  Medicine Ldg,Kansas
[OJC]  38.85   94.90  Olathe,Kansas
[RSL]  38.87   98.82  Russell,Kansas
[SLN]  38.80   97.65  Salina,Kansas
[TOP]  39.07   95.62  Topeka,Kansas
[FOE]  38.95   95.67  Topeka/Forbe,Kansas
[ICT]  37.65   97.43  Wichita,Kansas

Kentucky

[BWG]  36.97   86.43  Bowling Gren,Kentucky
[HOP]  36.67   87.50  Ft Campbell,Kentucky
[FTK]  37.90   85.97  Ft Knox,Kentucky
[JKL]  37.60   83.32  Jackson,Kentucky
[LEX]  38.05   85.00  Lexington,Kentucky
[LOZ]  37.08   84.07  London,Kentucky
[LOU]  38.23   85.67  Louisville,Kentucky
[SDF]  38.18   85.73  Louisville,Kentucky
[OWB]  37.75   87.17  Owensboro,Kentucky
[PAH]  37.07   88.77  Paducah,Kentucky
[5I3]  37.48   82.52  Pikeville,Kentucky

Louisiana

[ESF]  31.38   92.30  Alexandria,Lousiana
[BAD]  32.50   93.67  Barksdale,Lousiana
[BTR]  30.53   91.15  Baton Rouge,Lousiana
[BVE]  29.55   89.67  Boothville,Lousiana
[7R5]  29.78   93.30  Cameron Heli,Lousiana
[01R]  31.22   92.95  Claiborne R,Lousiana
[AEX]  31.33   92.55  England AFB,Lousiana
[41I]  28.47   91.78  Eugene Is.,Lousiana
[POE]  31.05   93.20  Fort Polk,Lousiana
[AXO]  29.18   90.07  Grand Isle,Lousiana
[5R0]  28.22   93.75  High Is,Lousiana
[01T]  28.13   94.40  High Island,Lousiana
[HUM]  29.57   90.65  Houma,Lousiana
[7R4]  29.73   92.12  Intercoastal,Lousiana
[LFT]  30.20   92.00  Lafayette,Lousiana
[LCH]  30.12   93.22  Lake Charles,Lousiana
[7R3]  29.70   91.10  Lk Palourde,Lousiana
[1G7]  28.78   89.05  Missippi Can,Lousiana
[MLU]  32.52   92.05  Monroe,Lousiana
[PTN]  29.70   91.20  Morgan City,Lousiana
[ARA]  30.03   91.88  New Iberia,Lousiana
[MSY]  29.98   90.25  New Orleans,Lousiana
[NBG]  29.83   90.02  New Orleans,Lousiana
[NEW]  30.03   90.03  New Orleans,Lousiana
[7R8]  28.30   91.98  S Marsh Isl,Lousiana
[DTN]  32.52   93.75  Shreveport,Lousiana
[SHV]  32.47   93.82  Shreveport,Lousiana
[SIL]  30.35   89.82  Slidel,Lousiana

Maine

